CUSTOMER_ID,GENDER,AGE,COUNTRY,TENURE_MONTHS,CONTRACT_TYPE,HAS_INTERNET,HAS_MOBILE,HAS_TV,MONTHLY_CHARGES,TOTAL_CHARGES,NUM_COMPLAINTS,SUPPORT_CALLS,PAYMENT_METHOD,CHURN,NUM_SERVICES,AVG_CHARGE_PER_MONTH,IS_LONG_TENURE
C000050,Female,68.0,FR,1.0,Two year,1,1,1,40.41,78.92,3,5,E-banking,0.0,3,78.92,0
C000051,Male,28.0,IT,51.0,Month-to-month,1,1,0,41.39,2098.01,1,1,Cash,0.0,2,41.13745098039216,1
C000052,Female,80.0,GR,38.0,One year,1,0,0,24.11,908.85,0,2,Credit card,0.0,1,23.917105263157897,1
C000053,Male,74.0,ES,43.0,Month-to-month,1,1,1,46.62,2011.19,0,0,E-banking,0.0,3,46.77186046511628,1
C000054,Female,29.0,DE,55.0,One year,1,1,0,29.77,1609.96,1,1,E-banking,0.0,2,29.272000000000002,1
C000055,Male,19.0,UK,57.0,Month-to-month,0,0,0,31.41,1796.84,0,3,Credit card,0.0,0,31.523508771929823,1
C000056,Female,25.0,GR,53.0,One year,1,1,1,50.45,2658.63,0,1,Bank transfer,0.0,3,50.162830188679244,1
C000057,Female,28.0,GR,33.0,One year,1,1,0,40.69,1328.41,2,3,Bank transfer,0.0,2,40.25484848484849,1
C000058,Male,70.0,DE,62.0,Month-to-month,0,1,0,34.37,2125.95,0,3,Credit card,1.0,1,34.28951612903226,1
C000059,Male,27.0,GR,11.0,Two year,0,1,1,20.21,200.21,1,2,Credit card,0.0,2,18.200909090909093,0
C000060,Male,25.0,FR,72.0,Two year,0,1,1,28.47,2003.09,1,5,Credit card,0.0,2,27.82069444444444,1
C000061,Male,53.0,GR,52.0,Month-to-month,1,1,1,46.63,2429.87,0,0,Bank transfer,0.0,3,46.72826923076923,1
C000062,Male,31.0,DE,1.0,One year,1,1,0,45.0,0.0,1,2,Credit card,1.0,2,0.0,0
C000063,Male,71.0,FR,14.0,One year,1,1,1,39.9,490.99,1,1,Bank transfer,0.0,3,35.07071428571429,0
C000064,Male,38.0,DE,21.0,Month-to-month,1,1,0,43.61,917.22,0,1,Credit card,1.0,2,43.67714285714286,0
C000065,Male,67.0,UK,34.0,Month-to-month,0,1,0,24.57,829.95,1,2,Bank transfer,1.0,1,24.41029411764706,1
C000066,Female,56.0,IT,14.0,Two year,1,1,0,39.1,555.19,0,1,Credit card,0.0,2,39.65642857142858,0
C000067,Female,37.0,FR,40.0,One year,1,1,0,39.12,1584.63,0,2,Credit card,0.0,2,39.615750000000006,1
C000068,Male,24.0,GR,35.0,Two year,1,1,1,35.95,1934.59,0,0,Cash,0.0,3,55.274,1
C000069,Female,26.0,DE,42.0,One year,0,0,0,23.31,960.67,0,0,Credit card,1.0,0,22.87309523809524,1
C000070,Female,18.0,IT,20.0,Month-to-month,1,1,0,32.16,629.83,0,0,Bank transfer,1.0,2,31.491500000000002,0
C000071,Female,43.0,GR,60.0,Month-to-month,0,1,0,28.29,1706.9,1,3,Credit card,1.0,1,28.448333333333334,1
C000072,Female,55.0,GR,9.0,One year,1,1,0,31.92,294.12,1,5,E-banking,0.0,2,32.68,0
C000073,Male,55.0,GR,33.0,One year,0,1,1,37.12,1212.69,1,1,Bank transfer,0.0,2,36.74818181818182,1
C000074,Female,78.0,GR,49.0,Month-to-month,1,1,1,53.75,2635.23,0,0,Cash,0.0,3,53.780204081632654,1
C000075,Male,61.0,ES,68.0,One year,0,0,1,28.75,1946.51,0,1,Credit card,0.0,1,28.62514705882353,1
C000076,Female,61.0,ES,4.0,Two year,1,1,1,34.12,109.11,1,4,Credit card,0.0,3,27.2775,0
C000077,Female,79.0,IT,48.0,One year,0,1,0,30.39,1460.54,0,0,Credit card,0.0,1,30.427916666666665,1
C000078,Female,23.0,ES,16.0,Month-to-month,1,1,1,60.9,910.12,1,1,Bank transfer,0.0,3,56.8825,0
C000079,Male,34.0,GR,47.0,Month-to-month,1,1,0,33.79,1595.57,0,3,Cash,1.0,2,33.948297872340426,1
C000080,Female,68.0,GR,26.0,Two year,1,1,0,23.33,649.0,0,1,Credit card,0.0,2,24.96153846153846,1
C000081,Male,55.0,IT,70.0,Two year,1,1,1,44.22,3084.67,1,1,E-banking,0.0,3,44.06671428571428,1
C000082,Female,41.0,GR,37.0,Month-to-month,1,1,0,52.42,1229.72,0,0,E-banking,0.0,2,33.23567567567568,1
C000083,Male,68.0,GR,22.0,Two year,1,1,0,31.46,710.18,0,1,Credit card,1.0,2,32.28090909090909,0
C000084,Female,27.0,IT,7.0,Month-to-month,1,1,0,37.21,304.24,0,0,Credit card,1.0,2,43.462857142857146,0
C000085,Male,38.0,UK,42.0,Month-to-month,1,1,1,55.81,2355.75,1,4,Cash,0.0,3,56.089285714285715,1
C000086,Male,74.0,GR,30.0,Month-to-month,1,1,0,43.29,1315.17,1,1,Bank transfer,0.0,2,43.839000000000006,1
C000087,Female,56.0,FR,6.0,Month-to-month,1,1,1,62.74,380.71,2,3,Bank transfer,1.0,3,63.45166666666666,0
C000088,Male,50.0,IT,37.0,Two year,1,1,0,41.1,939.26,1,2,Cash,0.0,2,25.385405405405404,1
C000089,Female,76.0,GR,66.0,One year,1,1,1,36.26,2333.89,0,0,Bank transfer,0.0,3,35.361969696969695,1
C000090,Female,35.0,FR,40.0,Month-to-month,1,1,0,57.06,2275.33,0,2,Bank transfer,0.0,2,56.88325,1
C000091,Female,73.0,GR,15.0,Two year,1,0,0,17.41,243.08,1,1,Cash,0.0,1,16.205333333333336,0
C000092,Female,74.0,UK,53.0,Two year,1,1,0,23.35,1220.39,1,3,Credit card,0.0,2,23.026226415094342,1
C000093,Female,65.0,IT,5.0,Month-to-month,1,1,0,39.92,161.66,1,2,E-banking,0.0,2,32.332,0
C000094,Female,59.0,IT,36.0,One year,1,1,0,46.92,1722.25,2,2,Bank transfer,1.0,2,47.84027777777778,1
C000095,Female,44.0,GR,46.0,One year,0,1,0,24.08,1076.76,0,0,Cash,0.0,1,23.407826086956522,1
C000096,Female,69.0,GR,23.0,One year,1,1,1,64.15,1442.49,1,2,E-banking,0.0,3,62.71695652173913,0
C000097,Female,59.0,GR,45.0,One year,0,0,1,26.06,1229.72,1,2,Credit card,0.0,1,27.327111111111112,1
C000099,Female,43.0,GR,54.0,Month-to-month,1,1,0,48.47,2643.01,0,1,Bank transfer,0.0,2,48.94462962962963,1
C000100,Male,42.0,DE,70.0,Two year,1,1,1,31.0,2150.28,0,1,Credit card,0.0,3,30.718285714285717,1
C000101,Male,40.0,GR,32.0,Two year,1,1,1,46.87,1493.63,0,2,Credit card,0.0,3,46.6759375,1
C000102,Female,74.0,DE,43.0,Month-to-month,1,1,0,44.53,1963.79,0,2,Bank transfer,0.0,2,45.66953488372093,1
C000103,Female,69.0,GR,37.0,Month-to-month,0,1,1,28.71,463.8,1,3,Credit card,1.0,2,12.535135135135135,1
C000104,Female,48.0,FR,66.0,Two year,1,0,0,17.53,1183.11,0,0,Credit card,1.0,1,17.92590909090909,1
C000105,Female,81.0,GR,15.0,Month-to-month,1,0,0,29.61,455.7,1,1,Bank transfer,1.0,1,30.38,0
C000106,Female,50.0,GR,20.0,Month-to-month,1,1,0,33.6,674.93,0,1,Cash,0.0,2,33.7465,0
C000107,Female,19.0,FR,50.0,Month-to-month,0,1,1,36.9,1905.13,1,3,Credit card,0.0,2,38.1026,1
C000108,Female,35.0,ES,6.0,Month-to-month,0,1,1,25.78,188.57,0,2,Credit card,0.0,2,31.42833333333333,0
C000109,Female,64.0,GR,17.0,Month-to-month,1,1,1,57.11,974.51,0,0,Credit card,0.0,3,57.32411764705882,0
C000110,Male,50.0,GR,26.0,One year,0,1,0,21.23,573.59,2,4,Credit card,1.0,1,22.061153846153847,1
C000111,Female,52.0,ES,22.0,Month-to-month,1,1,0,37.57,819.01,0,1,Bank transfer,1.0,2,37.22772727272727,0
C000112,Male,68.0,GR,64.0,Two year,1,1,0,22.56,1395.7,1,1,E-banking,0.0,2,21.8078125,1
C000113,Female,35.0,ES,58.0,Two year,1,1,1,34.13,1948.79,1,4,Bank transfer,0.0,3,33.5998275862069,1
C000114,Female,47.0,DE,37.0,Two year,1,0,0,23.67,861.9,0,1,E-banking,0.0,1,23.294594594594592,1
C000115,Male,61.0,GR,72.0,Two year,1,1,0,44.24,3169.83,0,0,Bank transfer,0.0,2,44.025416666666665,1
C000116,Female,70.0,DE,37.0,One year,0,1,1,35.14,962.3,0,0,Bank transfer,0.0,2,26.008108108108107,1
C000117,Male,27.0,ES,49.0,Month-to-month,0,1,1,39.87,1933.14,0,2,E-banking,0.0,2,39.45183673469388,1
C000118,Female,69.0,IT,67.0,Month-to-month,0,1,0,23.76,1631.27,0,1,E-banking,1.0,1,24.347313432835822,1
C000119,Female,66.0,GR,67.0,Month-to-month,1,1,0,39.16,2678.94,3,3,E-banking,0.0,2,39.98417910447761,1
C000120,Male,28.0,UK,41.0,Month-to-month,1,0,0,38.22,1606.26,0,0,Credit card,1.0,1,39.17707317073171,1
C000121,Female,83.0,GR,37.0,Month-to-month,1,1,0,35.95,2378.8,0,0,E-banking,1.0,2,64.2918918918919,1
C000122,Male,75.0,DE,55.0,Two year,0,1,0,34.98,1956.37,0,1,Credit card,0.0,1,35.57036363636364,1
C000123,Female,53.0,FR,11.0,Month-to-month,0,1,0,34.66,403.31,0,1,Credit card,1.0,1,36.664545454545454,0
C000124,Male,50.0,GR,26.0,Month-to-month,1,1,1,44.16,1146.99,0,1,Cash,1.0,3,44.115,1
C000125,Male,64.0,IT,72.0,One year,1,1,0,33.89,2425.43,0,0,Bank transfer,0.0,2,33.686527777777776,1
C000127,Female,57.0,IT,36.0,Two year,1,1,0,35.12,1294.03,0,0,E-banking,0.0,2,35.945277777777775,1
C000128,Male,85.0,ES,64.0,Month-to-month,1,1,0,30.77,1981.11,0,3,E-banking,1.0,2,30.95484375,1
C000129,Female,59.0,GR,51.0,Month-to-month,1,0,0,35.95,1341.9,0,1,E-banking,0.0,1,26.311764705882354,1
C000130,Female,36.0,GR,22.0,Two year,1,1,0,23.52,541.97,2,3,Bank transfer,0.0,2,24.635,0
C000131,Female,36.0,GR,60.0,One year,0,1,0,20.84,1293.88,0,0,Credit card,0.0,1,21.564666666666668,1
C000132,Male,75.0,GR,2.0,Month-to-month,0,1,1,31.24,81.49,1,2,E-banking,1.0,2,40.745,0
C000133,Male,40.0,DE,56.0,One year,1,1,0,31.09,1706.8,0,0,E-banking,0.0,2,30.478571428571428,1
C000134,Male,71.0,DE,40.0,One year,1,1,0,43.0,1672.16,0,1,E-banking,0.0,2,41.804,1
C000135,Male,82.0,IT,28.0,Month-to-month,1,1,0,35.82,1022.43,0,1,Cash,0.0,2,36.51535714285714,1
C000136,Male,29.0,DE,3.0,Two year,0,1,0,11.68,53.07,2,3,Bank transfer,0.0,1,17.69,0
C000137,Male,41.0,FR,63.0,Two year,1,0,0,22.98,1429.22,1,3,Credit card,0.0,1,22.686031746031748,1
C000138,Male,51.0,IT,23.0,One year,1,1,1,41.87,970.37,0,2,Credit card,0.0,3,42.19,0
C000139,Male,70.0,FR,55.0,One year,0,1,0,17.3,937.64,0,0,Bank transfer,1.0,1,17.048,1
C000140,Male,25.0,GR,32.0,Two year,0,1,0,25.41,798.32,1,1,Cash,0.0,1,24.9475,1
C000141,Female,35.0,DE,28.0,Month-to-month,0,1,0,35.95,976.69,0,1,Credit card,1.0,1,34.88178571428572,1
C000142,Male,74.0,GR,37.0,Two year,0,1,0,16.87,136.3,0,1,Bank transfer,0.0,1,3.683783783783784,1
C000143,Female,22.0,GR,3.0,One year,1,1,0,33.48,84.92,2,3,Bank transfer,1.0,2,28.30666666666667,0
C000144,Female,43.0,GR,53.0,Month-to-month,0,0,0,25.09,1341.16,0,1,Credit card,1.0,0,25.30490566037736,1
C000145,Female,47.0,FR,29.0,One year,1,0,0,23.45,627.56,0,1,Bank transfer,0.0,1,21.639999999999997,1
C000146,Male,71.0,DE,59.0,Month-to-month,1,1,0,31.67,1886.76,1,1,Credit card,1.0,2,31.978983050847457,1
C000147,Male,30.0,UK,24.0,Month-to-month,1,0,0,19.52,453.07,1,2,E-banking,1.0,1,18.877916666666668,1
C000148,Male,46.0,IT,38.0,One year,1,1,1,29.56,1091.15,0,0,Credit card,0.0,3,28.714473684210528,1
C000149,Male,20.0,GR,28.0,One year,1,1,1,42.74,1183.53,0,3,E-banking,0.0,3,42.26892857142857,1
C000150,Female,75.0,DE,37.0,One year,0,1,1,33.97,2058.14,0,0,E-banking,0.0,2,55.6254054054054,1
C000151,Male,19.0,ES,51.0,Month-to-month,1,1,0,42.3,2148.66,0,1,Cash,1.0,2,42.13058823529411,1
C000152,Male,45.0,GR,7.0,Month-to-month,0,1,1,52.08,368.26,1,2,E-banking,1.0,2,52.60857142857143,0
C000153,Male,19.0,UK,23.0,One year,1,1,0,35.95,666.22,1,1,Credit card,0.0,2,28.96608695652174,0
C000154,Male,24.0,GR,46.0,Two year,1,1,0,10.23,484.27,0,0,Cash,0.0,2,10.527608695652173,1
C000155,Male,43.0,FR,28.0,Two year,1,0,0,16.82,454.01,0,2,Credit card,0.0,1,16.214642857142856,1
C000156,Female,33.0,GR,24.0,Two year,1,1,1,53.54,1308.27,0,1,E-banking,1.0,3,54.51125,1
C000157,Male,40.0,GR,7.0,Month-to-month,1,1,0,31.15,226.04,1,3,Credit card,0.0,2,32.29142857142857,0
C000158,Female,57.0,UK,49.0,Two year,0,0,1,25.87,1292.1,0,1,Cash,0.0,1,26.36938775510204,1
C000159,Male,77.0,GR,3.0,Month-to-month,1,1,1,51.88,205.43,1,2,Cash,1.0,3,68.47666666666667,0
C000160,Female,49.0,GR,2.0,Month-to-month,0,1,0,33.84,21.15,1,4,Bank transfer,1.0,1,10.575,0
C000161,Male,32.0,DE,7.0,Month-to-month,1,1,0,47.87,323.6,1,1,Bank transfer,1.0,2,46.228571428571435,0
C000162,Male,30.0,GR,21.0,Two year,1,1,0,21.34,425.28,1,2,Bank transfer,1.0,2,20.25142857142857,0
C000163,Female,22.0,UK,9.0,Month-to-month,0,1,0,24.38,283.57,0,2,E-banking,1.0,1,31.507777777777775,0
C000164,Female,69.0,UK,37.0,Month-to-month,1,1,1,56.25,692.93,0,0,E-banking,0.0,3,18.727837837837836,1
C000165,Female,58.0,UK,24.0,Month-to-month,1,0,0,33.78,819.25,0,0,Cash,0.0,1,34.135416666666664,1
C000166,Male,70.0,UK,33.0,One year,1,1,1,57.36,1928.89,1,2,Bank transfer,0.0,3,58.45121212121212,1
C000167,Female,67.0,GR,43.0,Two year,0,1,1,24.21,1041.52,0,1,Credit card,1.0,2,24.22139534883721,1
C000168,Male,32.0,GR,5.0,Month-to-month,1,1,0,39.62,212.08,1,2,Bank transfer,1.0,2,42.416000000000004,0
C000169,Male,24.0,ES,71.0,Month-to-month,1,1,1,46.83,3310.97,1,2,Credit card,0.0,3,46.63338028169014,1
C000170,Female,57.0,FR,14.0,Month-to-month,1,0,0,24.8,306.23,0,1,E-banking,1.0,1,21.87357142857143,0
C000171,Female,45.0,GR,36.0,Month-to-month,0,1,1,43.29,1585.35,0,1,E-banking,0.0,2,44.037499999999994,1
C000172,Male,49.0,DE,35.0,Month-to-month,1,1,0,31.49,1229.72,1,2,Cash,1.0,2,35.13485714285714,1
C000173,Male,32.0,DE,50.0,Month-to-month,1,1,1,58.21,2933.19,0,1,Credit card,1.0,3,58.6638,1
C000174,Female,82.0,UK,11.0,One year,1,1,0,40.9,482.45,0,2,Bank transfer,0.0,2,43.85909090909091,0
C000175,Female,21.0,UK,37.0,Month-to-month,1,1,1,35.95,831.69,0,1,Bank transfer,0.0,3,22.47810810810811,1
C000176,Female,28.0,GR,44.0,Two year,1,1,1,62.34,2774.42,1,2,Credit card,0.0,3,63.055,1
C000177,Male,43.0,ES,51.0,Two year,1,1,1,48.59,2485.67,2,3,Cash,1.0,3,48.738627450980395,1
C000178,Male,78.0,GR,17.0,Month-to-month,1,1,0,46.42,760.04,0,2,E-banking,1.0,2,44.70823529411764,0
C000179,Male,54.0,DE,70.0,Month-to-month,1,1,0,37.54,2575.53,1,5,Bank transfer,1.0,2,36.793285714285716,1
C000180,Male,40.0,FR,8.0,One year,1,0,1,29.35,232.64,0,0,E-banking,0.0,2,29.08,0
C000181,Male,57.0,DE,28.0,Month-to-month,0,0,1,25.06,696.43,0,2,E-banking,1.0,1,24.8725,1
C000182,Male,40.0,GR,12.0,Month-to-month,1,1,0,41.63,532.3,0,1,Bank transfer,0.0,2,44.35833333333333,0
C000183,Female,33.0,IT,43.0,Month-to-month,1,1,0,35.43,1525.3,0,2,Credit card,1.0,2,35.472093023255816,1
C000184,Male,78.0,FR,37.0,Two year,1,1,1,20.99,743.96,0,2,Bank transfer,0.0,3,20.107027027027026,1
C000185,Male,85.0,ES,63.0,One year,1,1,0,31.24,1921.52,0,0,Bank transfer,0.0,2,30.50031746031746,1
C000186,Male,48.0,DE,63.0,Month-to-month,1,0,1,38.26,2414.71,0,1,Credit card,0.0,2,38.32873015873016,1
C000188,Male,42.0,IT,37.0,Month-to-month,1,1,1,53.01,2001.15,0,1,Bank transfer,1.0,3,54.08513513513514,1
C000189,Male,61.0,UK,11.0,Month-to-month,0,1,1,36.79,389.93,0,0,Cash,1.0,2,35.448181818181816,0
C000190,Female,29.0,FR,19.0,Month-to-month,0,1,0,15.93,315.23,0,2,Bank transfer,1.0,1,16.591052631578947,0
C000191,Male,26.0,GR,52.0,Two year,1,1,1,51.37,2667.21,0,0,Credit card,0.0,3,51.292500000000004,1
C000192,Male,29.0,GR,18.0,Month-to-month,1,0,1,37.44,592.89,0,0,Credit card,1.0,2,32.93833333333333,0
C000193,Male,71.0,IT,32.0,Month-to-month,1,1,1,31.35,1024.62,0,1,Cash,0.0,3,32.019375,1
C000194,Male,71.0,UK,23.0,Month-to-month,0,0,0,27.46,618.69,1,2,E-banking,0.0,0,26.899565217391306,0
C000195,Male,45.0,GR,12.0,Month-to-month,1,0,1,36.75,460.73,1,1,Bank transfer,0.0,2,38.39416666666667,0
C000196,Female,73.0,GR,58.0,Two year,1,1,0,28.49,1657.33,2,4,Credit card,0.0,2,28.57465517241379,1
C000197,Female,75.0,DE,21.0,Month-to-month,0,1,0,24.4,482.7,1,2,Credit card,0.0,1,22.985714285714284,0
C000198,Female,59.0,GR,21.0,Month-to-month,1,1,1,58.98,1233.27,1,2,Cash,0.0,3,58.72714285714286,0
C000199,Male,55.0,DE,29.0,Month-to-month,1,0,0,31.21,904.26,0,0,Credit card,0.0,1,31.181379310344827,1
C000200,Male,85.0,DE,47.0,Month-to-month,1,1,0,34.16,1611.14,0,0,Bank transfer,0.0,2,34.27957446808511,1
C000201,Male,70.0,ES,12.0,Two year,1,1,1,50.1,616.58,1,1,Credit card,1.0,3,51.38166666666667,0
C000202,Female,50.0,GR,58.0,Month-to-month,1,1,0,31.8,1845.37,0,0,Credit card,1.0,2,31.816724137931033,1
C000203,Male,73.0,IT,41.0,Month-to-month,1,1,1,48.52,2041.5,1,2,Credit card,1.0,3,49.792682926829265,1
C000204,Male,68.0,GR,19.0,Month-to-month,1,1,0,45.81,895.63,0,1,Bank transfer,0.0,2,47.13842105263158,0
C000205,Female,60.0,UK,12.0,One year,0,1,1,42.05,534.44,0,0,Cash,0.0,2,44.53666666666667,0
C000206,Male,32.0,GR,23.0,One year,1,1,0,41.95,989.7,0,1,Credit card,1.0,2,43.0304347826087,0
C000207,Female,55.0,ES,5.0,One year,1,1,0,44.7,225.79,2,2,Cash,0.0,2,45.158,0
C000208,Female,51.0,IT,26.0,Month-to-month,1,1,0,45.46,1203.89,0,0,Bank transfer,0.0,2,46.30346153846154,1
C000209,Female,22.0,FR,63.0,Two year,0,0,0,29.64,1904.99,0,3,Cash,0.0,0,30.237936507936507,1
C000210,Male,51.0,UK,52.0,Month-to-month,0,1,1,47.35,2466.07,0,0,Credit card,1.0,2,47.42442307692308,1
C000211,Male,68.0,DE,10.0,Month-to-month,1,1,1,59.16,623.16,0,1,Bank transfer,0.0,3,62.315999999999995,0
C000212,Male,27.0,FR,39.0,One year,1,0,0,25.14,941.42,0,2,E-banking,0.0,1,24.13897435897436,1
C000213,Male,29.0,IT,37.0,Month-to-month,0,0,0,28.41,686.33,0,0,E-banking,0.0,0,18.54945945945946,1
C000214,Male,21.0,IT,11.0,Month-to-month,1,1,0,32.75,337.07,0,2,E-banking,1.0,2,30.64272727272727,0
C000215,Male,35.0,GR,72.0,Month-to-month,1,1,0,48.81,3475.13,2,2,E-banking,1.0,2,48.26569444444445,1
C000216,Male,53.0,IT,48.0,Month-to-month,1,1,0,41.34,1976.05,1,1,E-banking,0.0,2,41.16770833333333,1
C000217,Female,42.0,GR,16.0,Month-to-month,0,0,0,32.11,519.91,0,0,Cash,0.0,0,32.494375,0
C000218,Male,53.0,GR,46.0,One year,0,1,1,35.95,1456.76,0,0,Credit card,0.0,2,31.668695652173913,1
C000219,Female,84.0,GR,47.0,Month-to-month,1,1,1,43.72,2093.33,0,1,Bank transfer,0.0,3,44.538936170212764,1
C000220,Male,26.0,GR,48.0,One year,1,0,0,28.35,1344.08,0,3,Credit card,0.0,1,28.001666666666665,1
C000221,Male,78.0,ES,69.0,Two year,0,1,0,35.95,1275.16,0,3,Credit card,0.0,1,18.48057971014493,1
